Name,Nestbox,Section,Number,Longitude,Latitude,Grid Ref
Nestbox C103, C103,c,103,-1.330002568,51.7584159,SP4634106849
Nestbox C104, C104,c,104,-1.330772917,51.75824945,SP4628806830
Nestbox C105, C105,c,105,-1.331053618,51.75788241,SP4626906789
Nestbox C106, C106,c,106,-1.331627637,51.75727427,SP4623006721
Nestbox C107, C107,c,107,-1.331746318,51.75708613,SP4622206700
Nestbox C108, C108,c,108,-1.331257985,51.75667003,SP4625606654
Nestbox C109, C109,c,109,-1.333494628,51.75680788,SP4610106668
Nestbox C11, C11,c,11,-1.331850567,51.75629504,SP4621506612
Nestbox C110, C110,c,110,-1.332551665,51.75689245,SP4616606678
Nestbox C111, C111,c,111,-1.331679116,51.75613223,SP4622706594
Nestbox C112, C112,c,112,-1.331287582,51.75615698,SP4625406597
Nestbox C113, C113,c,113,-1.330870262,51.75596579,SP4628306576
Nestbox C114, C114,c,114,-1.330303341,51.75598657,SP4632206578
Nestbox C115, C115,c,115,-1.329878063,51.75605949,SP4635206587
Nestbox C116, C116,c,116,-1.329108814,51.75615401,SP4640506598
Nestbox C117, C117,c,117,-1.328660265,51.75611548,SP4643606594
Nestbox C118, C118,c,118,-1.328358002,51.75695893,SP4645606688
Nestbox C119, C119,c,119,-1.328050979,51.75714599,SP4647706709
Nestbox C12, C12,c,12,-1.331373306,51.75623838,SP4624806606
Nestbox C120, C120,c,120,-1.328655294,51.75742817,SP4643506740
Nestbox C121, C121,c,121,-1.328529311,51.75713074,SP4644406707
Nestbox C122, C122,c,122,-1.328379776,51.75744458,SP4645406742
Nestbox C123, C123,c,123,-1.328319218,51.75800124,SP4645706804
Nestbox C124, C124,c,124,-1.328879225,51.75795993,SP4641906799
Nestbox C125, C125,c,125,-1.328553609,51.75858961,SP4644106869
Nestbox C126, C126,c,126,-1.329470933,51.75811616,SP4637806816
Nestbox C127, C127,c,127,-1.32950217,51.75796348,SP4637606799
